"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeofFlightLine","Classification","ScanAngleRank","UserData","PointSourceID","gpstime","Range"
5673408.7860,3704836.3530,1522.9380,91,1,2,1,0,5,7,0,111,50772191.99128010,4481.9571
5673410.3710,3704836.2030,1459.9790,72,2,2,1,0,2,7,0,111,50772191.99128010,4544.9362
5673411.2000,3704834.1100,1522.5440,111,1,2,1,0,5,7,0,111,50772191.99129130,4482.4184
5673412.1890,3704834.0290,1484.0600,4,2,2,1,0,5,7,0,111,50772191.99129130,4520.9152
5673413.7780,3704831.8430,1515.2280,101,1,2,1,0,5,7,0,111,50772191.99130250,4489.8061
5673415.1640,3704831.7170,1462.4720,147,2,2,1,0,2,7,0,111,50772191.99130250,4542.5804
5673416.2570,3704829.6040,1512.7670,162,1,2,1,0,5,7,0,111,50772191.99131380,4492.3402
5673417.5460,3704829.4400,1463.3580,54,2,2,1,0,2,7,0,111,50772191.99131380,4541.7663
5673418.1720,3704827.4680,1528.7780,61,1,3,1,0,5,7,0,111,50772191.99132500,4476.3959
5673418.7020,3704827.3630,1510.2410,69,2,3,1,0,5,7,0,111,50772191.99132500,4494.9407
5673419.9260,3704827.1950,1464.2110,36,3,3,1,0,2,7,0,111,50772191.99132500,4540.9873
5673420.5520,3704825.2230,1528.8760,40,1,4,1,0,5,7,0,111,50772191.99133620,4476.3740
5673421.0160,3704825.1480,1512.5370,39,2,4,1,0,5,7,0,111,50772191.99133620,4492.7198
5673421.4790,3704825.0730,1497.6100,4,3,4,1,0,5,7,0,111,50772191.99133620,4507.6541
5673422.2750,3704824.9170,1467.0320,0,4,4,1,0,3,7,0,111,50772191.99133620,4538.2428
5673423.1300,3704822.9560,1522.2160,71,1,3,1,0,5,7,0,111,50772191.99134760,4483.1155
5673423.5940,3704822.8810,1506.2380,21,2,3,1,0,5,7,0,111,50772191.99134760,4499.1004
5673424.7230,3704822.6430,1466.4750,11,3,3,1,0,2,7,0,111,50772191.99134760,4538.8801
5673425.2780,3704820.7660,1530.5820,19,1,1,1,0,5,7,0,111,50772191.99135880,4474.8270
5673425.4700,3704816.3420,1533.6000,116,1,3,0,0,5,7,0,111,50772192.00743440,4471.8937
5673425.9690,3704816.2030,1516.9670,15,2,3,0,0,5,7,0,111,50772192.00743440,4488.5347
5673423.1580,3704818.5240,1531.8620,116,1,2,0,0,5,7,0,111,50772192.00744570,4473.5502
5673425.0830,3704818.1290,1466.5730,3,2,2,0,0,2,7,0,111,50772192.00744570,4538.8687
5673420.8780,3704820.7400,1528.9420,61,1,2,0,0,5,7,0,111,50772192.00745690,4476.3912
5673422.7030,3704820.3730,1465.8510,21,2,2,0,0,2,7,0,111,50772192.00745690,4539.5096
5673418.4990,3704822.9510,1528.5150,0,1,4,0,0,5,7,0,111,50772192.00746810,4476.7398
5673418.9300,3704822.8750,1512.3410,18,2,4,0,0,5,7,0,111,50772192.00746810,4492.9197
5673419.5590,3704822.7750,1491.5730,13,3,4,0,0,5,7,0,111,50772192.00746810,4513.6974
5673420.2560,3704822.6460,1466.3760,0,4,4,0,0,3,7,0,111,50772192.00746810,4538.9044
5673416.2530,3704825.1370,1524.8410,46,1,3,0,0,5,7,0,111,50772192.00747940,4480.3403
5673416.6510,3704825.0580,1511.4550,85,2,3,0,0,5,7,0,111,50772192.00747940,4493.7324
5673417.9100,3704824.8590,1463.5550,28,3,3,0,0,2,7,0,111,50772192.00747940,4541.6493
